log_id,timestamp,system_name,log_level,user_id,session_id,message,error_code,response_time_ms,source_ip
LOG000001,2025-09-13 07:29:13,AUTH_SERVICE,WARN,USR4730,SESS227414,System operation initiated,,4018,143.60.118.255
LOG000002,2025-09-09 20:17:13,DATABASE,INFO,USR2671,SESS536451,System operation initiated,ERR487,3361,237.65.93.21
LOG000003,2025-09-14 11:04:13,DATABASE,ERROR,,SESS337780,System operation initiated,,4805,194.156.91.112
LOG000004,2025-09-11 10:15:13,DATABASE,ERROR,USR3684,SESS966056,System operation failed,ERR363,2359,108.192.106.91
LOG000005,2025-09-12 10:37:13,USER_PORTAL,INFO,,SESS517395,System operation terminated,,3612,137.203.220.127
LOG000006,2025-09-09 14:46:13,USER_PORTAL,INFO,USR4740,SESS508925,System operation completed,,1251,160.78.77.39
LOG000007,2025-09-11 10:46:13,API_GATEWAY,DEBUG,USR9002,SESS104109,System operation failed,ERR567,1135,98.74.25.203
LOG000008,2025-09-10 17:40:13,USER_PORTAL,ERROR,USR9932,SESS623001,System operation completed,,2611,211.114.73.169
LOG000009,2025-09-15 02:52:13,AUTH_SERVICE,ERROR,,SESS869579,System operation completed,,1200,19.85.76.145
LOG000010,2025-09-15 07:35:13,AUTH_SERVICE,ERROR,USR4071,SESS737914,System operation failed,,4141,224.211.233.180
LOG000011,2025-09-12 05:37:13,DATABASE,ERROR,USR1484,SESS147562,System operation initiated,,4849,105.174.234.158
LOG000012,2025-09-13 00:31:13,API_GATEWAY,WARN,,SESS673883,System operation terminated,,4458,184.192.111.249
LOG000013,2025-09-11 14:11:13,USER_PORTAL,DEBUG,USR1201,SESS168629,System operation terminated,ERR289,82,53.216.124.116
LOG000014,2025-09-13 23:31:13,DATABASE,ERROR,USR6600,SESS793709,System operation initiated,,1924,101.185.241.180
LOG000015,2025-09-14 05:30:13,API_GATEWAY,WARN,USR3289,SESS955328,System operation failed,ERR169,2482,6.236.28.36
LOG000016,2025-09-13 15:24:13,AUTH_SERVICE,ERROR,USR4445,SESS124926,System operation initiated,ERR514,3056,166.61.94.103
LOG000017,2025-09-09 16:10:13,USER_PORTAL,INFO,USR2046,SESS927903,System operation initiated,,717,14.113.142.208
LOG000018,2025-09-13 17:05:13,USER_PORTAL,DEBUG,,SESS629076,System operation failed,ERR345,1814,211.96.13.174
LOG000019,2025-09-11 23:53:13,DATABASE,INFO,USR5594,SESS703871,System operation terminated,,3723,228.66.69.17
LOG000020,2025-09-13 16:10:13,API_GATEWAY,INFO,,SESS179507,System operation initiated,,2574,188.96.122.64
LOG000021,2025-09-11 02:25:13,DATABASE,ERROR,,SESS266753,System operation initiated,,2485,98.180.117.91
LOG000022,2025-09-14 20:07:13,AUTH_SERVICE,INFO,USR4041,SESS149431,System operation initiated,,3620,174.78.144.119
LOG000023,2025-09-10 06:43:13,USER_PORTAL,DEBUG,USR5085,SESS444241,System operation failed,ERR941,4265,20.199.13.26
