product_id,product_name,category,brand,cost_price,retail_price,weight_kg,launch_date,is_active,profit_margin_percent,price_category
PROD1,Product Name 0,Clothing,BrandD,26.53,186.0,1.9,2024-12-01,False,85.74,Premium
PROD2,Product Name 1,Clothing,BrandE,61.39,81.54,2.22,2025-03-08,True,24.71,Mid-range
PROD3,Product Name 2,Books,BrandC,65.41,343.44,0.25,2023-04-21,False,80.95,Luxury
PROD4,Product Name 3,Home,BrandE,53.74,354.2,1.37,2024-12-13,False,84.83,Luxury
PROD5,Product Name 4,Electronics,BrandE,105.43,191.86,0.27,2025-05-04,True,45.05,Premium
PROD6,Product Name 5,Books,BrandE,109.43,39.52,4.41,2024-05-04,True,-176.9,Budget
PROD7,Product Name 6,Electronics,BrandD,74.59,161.25,1.29,2022-10-23,True,53.74,Premium
PROD8,Product Name 7,Electronics,BrandD,73.99,323.38,2.83,2024-10-30,False,77.12,Luxury
PROD9,Product Name 8,Electronics,BrandD,166.57,361.69,0.29,2023-10-25,False,53.95,Luxury
PROD10,Product Name 9,Sports,BrandB,158.91,89.35,3.37,2024-01-06,False,-77.85,Mid-range
PROD11,Product Name 10,Electronics,BrandE,65.02,36.12,1.68,2022-11-27,False,-80.01,Budget
PROD12,Product Name 11,Home,BrandA,183.19,352.17,4.5,2024-02-04,True,47.98,Luxury
PROD13,Product Name 12,Electronics,BrandA,190.8,161.87,4.45,2023-12-06,False,-17.87,Premium
PROD14,Product Name 13,Electronics,BrandB,68.71,221.29,1.69,2022-09-18,True,68.95,Premium
PROD15,Product Name 14,Electronics,BrandC,74.11,387.55,4.51,2024-01-23,False,80.88,Luxury
PROD16,Product Name 15,Electronics,BrandC,103.6,35.96,4.98,2024-07-16,False,-188.1,Budget
PROD17,Product Name 16,Clothing,BrandD,188.52,262.84,4.14,2023-09-27,False,28.28,Premium
PROD18,Product Name 17,Home,BrandE,175.88,38.9,4.24,2024-09-04,True,-352.13,Budget
PROD19,Product Name 18,Clothing,BrandB,25.0,156.43,1.32,2025-03-20,True,84.02,Premium
PROD20,Product Name 19,Sports,BrandE,81.58,323.49,2.93,2024-04-12,False,74.78,Luxury
PROD21,Product Name 20,Sports,BrandD,112.91,179.05,0.43,2024-12-16,True,36.94,Premium
PROD22,Product Name 21,Electronics,BrandB,103.11,398.9,0.57,2024-05-15,False,74.15,Luxury
PROD23,Product Name 22,Sports,BrandA,42.8,228.03,4.99,2024-10-10,False,81.23,Premium
PROD24,Product Name 23,Electronics,BrandC,172.47,135.25,1.7,2024-12-27,True,-27.52,Mid-range
PROD25,Product Name 24,Home,BrandE,137.0,95.84,3.77,2024-06-04,False,-42.95,Mid-range
PROD26,Product Name 25,Books,BrandB,168.39,146.7,4.05,2022-10-13,False,-14.79,Mid-range
PROD27,Product Name 26,Books,BrandA,172.46,155.29,4.3,2024-01-24,False,-11.06,Premium
PROD28,Product Name 27,Home,BrandA,150.93,36.8,4.99,2024-12-14,False,-310.14,Budget
PROD29,Product Name 28,Sports,BrandC,90.65,154.13,1.28,2024-06-09,True,41.19,Premium
PROD30,Product Name 29,Home,BrandC,124.06,191.05,0.3,2023-06-07,False,35.06,Premium
PROD31,Product Name 30,Sports,BrandD,36.27,291.87,2.11,2024-02-07,False,87.57,Premium
PROD32,Product Name 31,Books,BrandE,136.36,266.12,0.74,2024-04-23,True,48.76,Premium
PROD33,Product Name 32,Books,BrandA,39.95,286.42,0.21,2023-03-13,False,86.05,Premium
PROD34,Product Name 33,Sports,BrandE,140.32,13.26,1.87,2023-10-05,False,-958.22,Budget
PROD35,Product Name 34,Clothing,BrandB,49.77,94.89,3.94,2025-03-10,True,47.55,Mid-range
PROD36,Product Name 35,Clothing,BrandB,27.92,268.06,2.87,2024-05-06,True,89.58,Premium
PROD37,Product Name 36,Books,BrandA,37.23,198.76,1.63,2025-01-19,False,81.27,Premium
PROD38,Product Name 37,Books,BrandD,5.39,12.07,3.31,2025-01-26,False,55.34,Budget
PROD39,Product Name 38,Clothing,BrandB,145.15,323.75,1.24,2023-10-09,True,55.17,Luxury
PROD40,Product Name 39,Books,BrandB,147.82,311.4,0.17,2024-09-01,True,52.53,Luxury
PROD41,Product Name 40,Books,BrandB,105.41,223.88,3.85,2023-01-05,False,52.92,Premium
PROD42,Product Name 41,Sports,BrandA,36.47,35.92,3.16,2024-08-21,True,-1.53,Budget
PROD43,Product Name 42,Home,BrandB,21.29,308.94,3.84,2025-01-09,True,93.11,Luxury
PROD44,Product Name 43,Sports,BrandA,8.73,237.65,0.29,2024-09-15,True,96.33,Premium
PROD45,Product Name 44,Sports,BrandA,37.32,314.96,4.2,2024-09-18,False,88.15,Luxury
PROD46,Product Name 45,Clothing,BrandC,178.72,303.18,3.14,2022-10-16,False,41.05,Luxury
PROD47,Product Name 46,Home,BrandC,52.1,323.17,2.86,2025-01-08,True,83.88,Luxury
PROD48,Product Name 47,Sports,BrandD,74.08,212.02,3.16,2023-05-26,False,65.06,Premium
PROD49,Product Name 48,Books,BrandB,25.54,64.73,4.34,2023-07-24,True,60.54,Mid-range
PROD50,Product Name 49,Clothing,BrandA,48.36,271.75,2.98,2023-08-05,True,82.2,Premium
PROD51,Product Name 50,Books,BrandE,106.25,251.98,2.95,2023-10-30,True,57.83,Premium
PROD52,Product Name 51,Sports,BrandE,123.51,299.48,4.95,2025-01-30,True,58.76,Premium
PROD53,Product Name 52,Home,BrandE,52.84,76.25,3.81,2023-04-29,False,30.7,Mid-range
PROD54,Product Name 53,Books,BrandC,16.26,86.04,2.27,2024-01-07,False,81.1,Mid-range
PROD55,Product Name 54,Electronics,BrandD,81.25,357.26,3.57,2024-03-06,False,77.26,Luxury
PROD56,Product Name 55,Books,BrandB,50.67,302.49,2.01,2025-02-11,False,83.25,Luxury
PROD57,Product Name 56,Sports,BrandC,47.81,364.21,1.22,2023-05-12,True,86.87,Luxury
PROD58,Product Name 57,Clothing,BrandE,192.17,305.9,3.02,2024-12-06,True,37.18,Luxury
PROD59,Product Name 58,Books,BrandE,125.18,242.89,4.65,2022-11-15,True,48.46,Premium
PROD60,Product Name 59,Home,BrandD,113.59,265.11,4.65,2023-05-11,False,57.15,Premium
PROD61,Product Name 60,Clothing,BrandA,86.08,356.76,1.78,2023-02-15,True,75.87,Luxury
PROD62,Product Name 61,Sports,BrandA,88.64,235.73,2.69,2024-08-13,True,62.4,Premium
PROD63,Product Name 62,Home,BrandE,110.48,256.63,1.14,2022-09-27,True,56.95,Premium
PROD64,Product Name 63,Electronics,BrandA,140.8,71.03,4.98,2024-09-23,True,-98.23,Mid-range
PROD65,Product Name 64,Clothing,BrandE,141.92,194.83,4.91,2023-06-08,False,27.16,Premium
PROD66,Product Name 65,Clothing,BrandD,38.48,289.39,3.28,2024-01-12,True,86.7,Premium
PROD67,Product Name 66,Sports,BrandE,102.52,115.67,4.04,2023-11-15,False,11.37,Mid-range
PROD68,Product Name 67,Home,BrandE,85.33,88.88,3.6,2023-06-19,False,3.99,Mid-range
PROD69,Product Name 68,Books,BrandB,174.75,132.39,3.01,2025-06-25,True,-32.0,Mid-range
PROD70,Product Name 69,Books,BrandB,128.13,104.19,0.36,2023-11-30,False,-22.98,Mid-range
PROD71,Product Name 70,Electronics,BrandA,108.84,93.82,2.33,2022-10-28,False,-16.01,Mid-range
PROD72,Product Name 71,Clothing,BrandA,27.5,175.69,3.41,2024-05-01,False,84.35,Premium
PROD73,Product Name 72,Clothing,BrandD,123.1,364.06,3.42,2023-12-08,False,66.19,Luxury
PROD74,Product Name 73,Electronics,BrandD,27.85,207.75,1.93,2022-10-11,True,86.59,Premium
PROD75,Product Name 74,Sports,BrandD,70.76,83.29,4.71,2023-05-18,False,15.04,Mid-range
PROD76,Product Name 75,Electronics,BrandA,32.85,40.02,0.92,2023-02-27,False,17.92,Budget
PROD77,Product Name 76,Books,BrandA,139.95,281.5,2.55,2024-07-09,False,50.28,Premium
PROD78,Product Name 77,Sports,BrandB,45.22,159.29,3.49,2024-10-26,True,71.61,Premium
PROD79,Product Name 78,Electronics,BrandB,81.41,330.51,3.52,2024-12-15,False,75.37,Luxury
PROD80,Product Name 79,Books,BrandD,179.66,267.21,3.28,2024-03-12,True,32.76,Premium
