order_id,customer_id,product_id,order_date,quantity,unit_price,discount_percent,sales_rep_id,order_status,total_amount,order_month,profit_margin,customer_segment,region,category,brand,revenue,gross_profit,order_quarter,order_year
ORD000001,CUST216,PROD19,2025-04-26,7,123.23,0.21,REP17,Shipped,681.4619,2025-04,49.292,Basic,North America,Clothing,BrandB,681.4619,506.4619,2,2025
ORD000002,CUST59,PROD30,2025-08-19,4,339.23,0.26,REP8,Pending,1004.1208,2025-08,135.692,Standard,North America,Home,BrandC,1004.1208,507.8808,3,2025
ORD000003,CUST60,PROD9,2025-09-08,8,19.66,0.19,REP14,Shipped,127.3968,2025-09,7.864000000000001,Standard,Europe,Electronics,BrandD,127.3968,-1205.1632,3,2025
ORD000004,CUST137,PROD7,2025-04-13,5,61.01,0.23,REP11,Delivered,234.8885,2025-04,24.404,Basic,Europe,Electronics,BrandD,234.8885,-138.06150000000005,2,2025
ORD000005,CUST82,PROD52,2024-11-18,7,401.96,0.05,REP16,Delivered,2673.0339999999997,2024-11,160.784,Standard,Europe,Sports,BrandE,2673.0339999999997,1808.4639999999995,4,2024
ORD000006,CUST248,PROD38,2025-03-15,3,97.49,0.14,REP7,Delivered,251.5242,2025-03,38.996,Premium,Europe,Books,BrandD,251.5242,235.35420000000002,1,2025
ORD000007,CUST96,PROD18,2024-11-19,7,329.85,0.0,REP3,Cancelled,2308.9500000000003,2024-11,131.94000000000003,Premium,North America,Home,BrandE,2308.9500000000003,1077.7900000000004,4,2024
ORD000008,CUST80,PROD97,2025-04-24,8,126.71,0.07,REP15,Pending,942.7224,2025-04,50.684,Standard,Europe,Sports,BrandB,942.7224,-412.8775999999999,2,2025
ORD000009,CUST84,PROD39,2025-08-26,5,58.73,0.22,REP20,Shipped,229.047,2025-08,23.492,Premium,North America,Clothing,BrandB,229.047,-496.703,3,2025
ORD000010,CUST256,PROD11,2025-08-28,4,129.15,0.3,REP13,Cancelled,361.62,2025-08,51.66,Standard,Europe,Electronics,BrandE,361.62,101.54000000000002,3,2025
ORD000011,CUST126,PROD31,2025-06-25,8,363.91,0.03,REP13,Pending,2823.9416,2025-06,145.56400000000002,Premium,North America,Sports,BrandD,2823.9416,2533.7816000000003,2,2025
ORD000012,CUST239,PROD49,2024-09-20,8,429.29,0.12,REP13,Shipped,3022.2016000000003,2024-09,171.716,Standard,North America,Books,BrandB,3022.2016000000003,2817.8816,3,2024
ORD000013,CUST94,PROD20,2025-03-16,3,416.81,0.24,REP12,Cancelled,950.3268,2025-03,166.72400000000002,Standard,North America,Sports,BrandE,950.3268,705.5868,1,2025
ORD000014,CUST247,PROD20,2025-04-16,6,204.62,0.06,REP6,Cancelled,1154.0568,2025-04,81.84800000000001,Basic,Europe,Sports,BrandE,1154.0568,664.5768,2,2025
ORD000015,CUST198,PROD27,2025-01-04,5,337.36,0.17,REP16,Pending,1400.044,2025-01,134.94400000000002,Standard,Europe,Books,BrandA,1400.044,537.744,1,2025
ORD000016,CUST87,PROD71,2025-01-07,2,110.44,0.22,REP9,Pending,172.2864,2025-01,44.176,Premium,Europe,Electronics,BrandA,172.2864,-45.39360000000002,1,2025
ORD000017,CUST145,PROD33,2024-09-24,8,153.64,0.18,REP6,Shipped,1007.8784,2024-09,61.456,Basic,Europe,Books,BrandA,1007.8784,688.2784,3,2024
ORD000018,CUST18,PROD55,2025-06-14,6,449.2,0.06,REP3,Pending,2533.488,2025-06,179.68,Premium,North America,Electronics,BrandD,2533.488,2045.9879999999998,2,2025
ORD000019,CUST250,PROD33,2025-02-07,2,16.37,0.11,REP3,Pending,29.138600000000004,2025-02,6.548000000000001,Standard,North America,Books,BrandA,29.138600000000004,-50.7614,1,2025
ORD000020,CUST45,PROD39,2024-12-31,5,51.9,0.24,REP6,Cancelled,197.22,2024-12,20.76,Standard,Europe,Clothing,BrandB,197.22,-528.53,4,2024
ORD000021,CUST90,PROD37,2025-04-06,1,111.86,0.17,REP20,Shipped,92.8438,2025-04,44.744,Basic,North America,Books,BrandA,92.8438,55.613800000000005,2,2025
ORD000022,CUST107,PROD38,2024-12-28,6,23.0,0.0,REP8,Pending,138.0,2024-12,9.2,Standard,Europe,Books,BrandD,138.0,105.66,4,2024
ORD000023,CUST159,PROD1,2024-11-23,9,98.9,0.23,REP20,Shipped,685.3770000000001,2024-11,39.56,Basic,Europe,Clothing,BrandD,685.3770000000001,446.6070000000001,4,2024
ORD000024,CUST245,PROD69,2025-07-31,1,295.69,0.01,REP18,Cancelled,292.7331,2025-07,118.276,Premium,Europe,Books,BrandB,292.7331,117.98309999999998,3,2025
ORD000025,CUST126,PROD27,2025-04-01,3,216.5,0.22,REP2,Pending,506.61,2025-04,86.60000000000001,Premium,North America,Books,BrandA,506.61,-10.769999999999982,2,2025
ORD000026,CUST35,PROD87,2025-04-18,7,447.41,0.06,REP16,Pending,2943.9578,2025-04,178.96400000000003,Basic,Europe,Sports,BrandD,2943.9578,2261.5978,2,2025
ORD000027,CUST109,PROD90,2025-06-13,4,410.55,0.29,REP4,Delivered,1165.962,2025-06,164.22000000000003,Premium,North America,Home,BrandA,1165.962,608.842,2,2025
ORD000028,CUST138,PROD67,2025-02-09,9,177.49,0.11,REP4,Shipped,1421.6949000000002,2025-02,70.99600000000001,Premium,Europe,Sports,BrandE,1421.6949000000002,499.01490000000024,1,2025
ORD000029,CUST93,PROD20,2024-11-06,3,137.12,0.1,REP20,Cancelled,370.2240000000001,2024-11,54.848000000000006,Premium,Europe,Sports,BrandE,370.2240000000001,125.4840000000001,4,2024
ORD000030,CUST49,PROD48,2025-09-03,5,196.05,0.04,REP4,Cancelled,941.04,2025-09,78.42000000000002,Standard,Europe,Sports,BrandD,941.04,570.64,3,2025
ORD000031,CUST245,PROD27,2025-06-10,3,299.24,0.09,REP19,Pending,816.9252,2025-06,119.696,Premium,Europe,Books,BrandA,816.9252,299.5452,2,2025
ORD000032,CUST201,PROD36,2024-10-24,7,141.35,0.26,REP1,Delivered,732.193,2024-10,56.54,Premium,Europe,Clothing,BrandB,732.193,536.7529999999999,4,2024
ORD000033,CUST172,PROD53,2025-03-03,5,315.83,0.3,REP8,Delivered,1105.4049999999995,2025-03,126.332,Basic,Europe,Home,BrandE,1105.4049999999995,841.2049999999995,1,2025
ORD000034,CUST207,PROD26,2024-09-22,9,210.61,0.11,REP15,Shipped,1686.9861000000003,2024-09,84.24400000000001,Premium,Europe,Books,BrandB,1686.9861000000003,171.47610000000054,3,2024
ORD000035,CUST80,PROD78,2024-10-22,7,280.5,0.13,REP7,Pending,1708.245,2024-10,112.2,Standard,Europe,Sports,BrandB,1708.245,1391.705,4,2024
ORD000036,CUST21,PROD24,2025-06-11,2,223.7,0.22,REP13,Shipped,348.972,2025-06,89.48,Standard,Europe,Electronics,BrandC,348.972,4.031999999999982,2,2025
ORD000037,CUST62,PROD40,2024-10-17,4,154.29,0.27,REP9,Cancelled,450.5268,2024-10,61.716,Standard,Europe,Books,BrandB,450.5268,-140.7532,4,2024
ORD000038,CUST243,PROD33,2025-02-11,9,474.74,0.18,REP8,Shipped,3503.5812,2025-02,189.896,Basic,Europe,Books,BrandA,3503.5812,3144.0312,1,2025
ORD000039,CUST109,PROD46,2024-12-14,2,384.17,0.12,REP17,Delivered,676.1392000000001,2024-12,153.668,Premium,North America,Clothing,BrandC,676.1392000000001,318.6992000000001,4,2024
ORD000040,CUST233,PROD55,2024-12-23,9,78.66,0.12,REP13,Cancelled,622.9871999999999,2024-12,31.464,Standard,North America,Electronics,BrandD,622.9871999999999,-108.26280000000008,4,2024
ORD000041,CUST88,PROD52,2025-07-08,5,435.55,0.21,REP15,Pending,1720.4225,2025-07,174.22000000000003,Standard,Europe,Sports,BrandE,1720.4225,1102.8725,3,2025
ORD000042,CUST128,PROD34,2024-11-05,2,248.84,0.0,REP3,Shipped,497.68,2024-11,99.536,Standard,Europe,Sports,BrandE,497.68,217.04000000000002,4,2024
ORD000043,CUST160,PROD69,2025-01-04,4,448.33,0.19,REP13,Cancelled,1452.5892,2025-01,179.332,Premium,Europe,Books,BrandB,1452.5892,753.5891999999999,1,2025
ORD000044,CUST215,PROD59,2024-11-28,7,401.93,0.11,REP17,Pending,2504.0239,2024-11,160.77200000000002,Standard,North America,Books,BrandE,2504.0239,1627.7639000000001,4,2024
ORD000045,CUST3,PROD56,2024-09-22,8,218.35,0.24,REP8,Shipped,1327.568,2024-09,87.34,Premium,Europe,Books,BrandB,1327.568,922.208,3,2024
ORD000046,CUST276,PROD64,2025-04-18,3,21.01,0.03,REP11,Delivered,61.1391,2025-04,8.404000000000002,Basic,Europe,Electronics,BrandA,61.1391,-361.26090000000005,2,2025
ORD000047,CUST144,PROD34,2025-05-18,1,141.65,0.18,REP1,Shipped,116.15300000000002,2025-05,56.66,Premium,Europe,Sports,BrandE,116.15300000000002,-24.166999999999973,2,2025
ORD000048,CUST29,PROD58,2024-10-09,4,275.4,0.14,REP6,Shipped,947.376,2024-10,110.16,Premium,Europe,Clothing,BrandE,947.376,178.69600000000003,4,2024
ORD000049,CUST8,PROD35,2025-05-10,2,320.4,0.19,REP10,Pending,519.048,2025-05,128.16,Basic,Europe,Clothing,BrandB,519.048,419.508,2,2025
ORD000050,CUST209,PROD94,2025-06-04,8,136.36,0.02,REP11,Cancelled,1069.0624,2025-06,54.54400000000001,Standard,Europe,Clothing,BrandD,1069.0624,193.4624,2,2025
ORD000051,CUST155,PROD81,2025-02-28,4,78.28,0.17,REP18,Shipped,259.8896,2025-02,31.312,Standard,Europe,Home,BrandB,259.8896,80.52959999999996,1,2025
ORD000052,CUST46,PROD74,2025-05-25,2,419.12,0.17,REP8,Shipped,695.7392,2025-05,167.64800000000002,Standard,North America,Electronics,BrandD,695.7392,640.0391999999999,2,2025
ORD000053,CUST224,PROD60,2025-09-03,6,492.36,0.17,REP3,Cancelled,2451.9527999999996,2025-09,196.944,Premium,North America,Home,BrandD,2451.9527999999996,1770.4127999999996,3,2025
ORD000054,CUST246,PROD41,2025-03-10,6,267.59,0.18,REP2,Delivered,1316.5428000000002,2025-03,107.036,Premium,Europe,Books,BrandB,1316.5428000000002,684.0828000000001,1,2025
ORD000055,CUST54,PROD88,2025-02-11,4,94.12,0.2,REP14,Cancelled,301.184,2025-02,37.648,Standard,Europe,Clothing,BrandA,301.184,-156.13599999999997,1,2025
ORD000056,CUST21,PROD80,2025-07-14,6,143.43,0.24,REP11,Pending,654.0408,2025-07,57.37200000000001,Standard,Europe,Books,BrandD,654.0408,-423.91920000000005,3,2025
ORD000057,CUST165,PROD2,2025-08-02,2,19.01,0.08,REP14,Pending,34.97840000000001,2025-08,7.604000000000001,Standard,North America,Clothing,BrandE,34.97840000000001,-87.8016,3,2025
ORD000058,CUST93,PROD35,2025-08-20,2,458.01,0.25,REP19,Shipped,687.015,2025-08,183.204,Premium,Europe,Clothing,BrandB,687.015,587.475,3,2025
ORD000059,CUST226,PROD46,2025-07-24,4,67.7,0.15,REP6,Delivered,230.18,2025-07,27.08,Standard,Europe,Clothing,BrandC,230.18,-484.7,3,2025
ORD000060,CUST267,PROD2,2024-11-24,8,292.49,0.02,REP5,Pending,2293.1216,2024-11,116.996,Basic,Europe,Clothing,BrandE,2293.1216,1802.0016,4,2024
ORD000061,CUST278,PROD90,2025-01-10,7,144.29,0.02,REP20,Delivered,989.8294,2025-01,57.716,Basic,North America,Home,BrandA,989.8294,14.869399999999928,1,2025
ORD000062,CUST290,PROD14,2025-09-10,9,281.55,0.1,REP5,Pending,2280.5550000000003,2025-09,112.62,Basic,Europe,Electronics,BrandB,2280.5550000000003,1662.1650000000004,3,2025
ORD000063,CUST96,PROD26,2025-01-30,8,329.2,0.24,REP14,Cancelled,2001.536,2025-01,131.68,Premium,North America,Books,BrandB,2001.536,654.4160000000002,1,2025
ORD000064,CUST4,PROD2,2025-02-19,5,416.57,0.21,REP12,Delivered,1645.4515,2025-02,166.628,Basic,North America,Clothing,BrandE,1645.4515,1338.5014999999999,1,2025
ORD000065,CUST169,PROD12,2025-04-17,2,111.15,0.24,REP13,Shipped,168.948,2025-04,44.46000000000001,Basic,North America,Home,BrandA,168.948,-197.432,2,2025
ORD000066,CUST177,PROD29,2025-02-12,5,15.39,0.16,REP12,Cancelled,64.638,2025-02,6.156000000000001,Premium,Europe,Sports,BrandC,64.638,-388.61199999999997,1,2025
ORD000067,CUST215,PROD93,2025-02-10,8,77.07,0.13,REP3,Pending,536.4072,2025-02,30.828,Standard,North America,Clothing,BrandE,536.4072,-632.1528,1,2025
ORD000068,CUST243,PROD96,2025-05-21,9,451.01,0.04,REP2,Pending,3896.7264,2025-05,180.404,Basic,Europe,Books,BrandE,3896.7264,2410.1964,2,2025
ORD000069,CUST238,PROD9,2024-12-29,9,438.21,0.1,REP15,Shipped,3549.5009999999997,2024-12,175.284,Basic,North America,Electronics,BrandD,3549.5009999999997,2050.371,4,2024
ORD000070,CUST226,PROD61,2025-07-14,1,302.73,0.13,REP2,Delivered,263.37510000000003,2025-07,121.092,Standard,Europe,Clothing,BrandA,263.37510000000003,177.29510000000005,3,2025
ORD000071,CUST234,PROD31,2024-09-17,9,304.25,0.03,REP12,Shipped,2656.1025,2024-09,121.7,Standard,North America,Sports,BrandD,2656.1025,2329.6725,3,2024
ORD000072,CUST27,PROD5,2024-10-14,7,335.87,0.07,REP15,Cancelled,2186.5137,2024-10,134.348,Premium,Europe,Electronics,BrandE,2186.5137,1448.5037,4,2024
ORD000073,CUST297,PROD81,2025-07-31,9,95.93,0.18,REP13,Delivered,707.9634000000002,2025-07,38.37200000000001,Basic,Europe,Home,BrandB,707.9634000000002,304.40340000000015,3,2025
ORD000074,CUST186,PROD82,2025-08-30,8,458.06,0.22,REP3,Cancelled,2858.2944,2025-08,183.224,Premium,Europe,Clothing,BrandB,2858.2944,2026.1344000000004,3,2025
ORD000075,CUST131,PROD31,2025-08-02,1,215.2,0.3,REP9,Delivered,150.64,2025-08,86.08,Premium,North America,Sports,BrandD,150.64,114.36999999999998,3,2025
ORD000076,CUST112,PROD72,2025-04-20,8,197.74,0.28,REP20,Shipped,1138.9824,2025-04,79.096,Premium,North America,Clothing,BrandA,1138.9824,918.9824000000001,2,2025
ORD000077,CUST101,PROD55,2025-04-18,8,264.27,0.19,REP3,Shipped,1712.4696,2025-04,105.708,Basic,Europe,Electronics,BrandD,1712.4696,1062.4696,2,2025
ORD000078,CUST83,PROD89,2025-08-30,3,33.01,0.13,REP10,Cancelled,86.1561,2025-08,13.204,Basic,Europe,Home,BrandA,86.1561,-296.4639,3,2025
ORD000079,CUST287,PROD60,2025-05-02,1,91.48,0.19,REP10,Pending,74.09880000000001,2025-05,36.592000000000006,Premium,North America,Home,BrandD,74.09880000000001,-39.49119999999999,2,2025
ORD000080,CUST264,PROD7,2025-09-01,8,371.64,0.24,REP8,Cancelled,2259.5712,2025-09,148.656,Premium,Europe,Electronics,BrandD,2259.5712,1662.8511999999998,3,2025
ORD000081,CUST28,PROD93,2025-07-31,3,50.57,0.04,REP15,Cancelled,145.6416,2025-07,20.228,Basic,Europe,Clothing,BrandE,145.6416,-292.5684,3,2025
